Name,Height,Mass,Hair Color,Skin Color,Eye Color,Birth Year,BBY/ABY,Gender,Homeworld,Species
Poggle the Lesser,183,80,None,Green,Yellow,NA,,Male,Geonosis,Geonosian
Quarsh Panaka,183,NA,Black,Dark,Brown,62,BBY,Male,Naboo,Human
Qui-Gon Jinn,193,89,Brown,Fair,Blue,92,BBY,Male,Coruscant,Human
R2-D2,96,32,None,"White, Blue",Red,33,BBY,Male,Naboo,Droid
R4-P17,96,NA,None,"Silver, Red","Red, Blue",NA,,Female,Nubia,Droid
R5-D4,97,32,None,"White, Red",Red,NA,,Male,Tatooine,Droid
Ratts Tyerell,79,15,None,"Grey, Blue",Black,NA,,Male,Aleen Minor,Aleena
Raymus Antilles,188,79,Brown,Light,Brown,NA,,Male,Alderaan,Human
Rey,170,54,Brown,Light,Hazel,15,ABY,Female,Jakku,Human
Ric Olié,183,NA,Brown,Fair,Blue,NA,,Male,Naboo,Human
Roos Tarpals,224,82,None,Grey,Orange,NA,,Male,Naboo,Gungan
Rugor Nass,206,NA,None,Green,Orange,NA,,Male,Naboo,Gungan
Saesee Tiin,188,NA,None,Pale,Orange,NA,,Male,Iktotch,Iktotchi
San Hill,191,NA,None,Grey,Gold,NA,,Male,Muunilinst,Muun
Sebulba,112,40,None,"Grey, Red",Orange,NA,,Male,Malastare,Dug
Shaak Ti,178,57,None,"Red, Blue, White",Black,NA,,Female,Shili,Togruta
Shmi Skywalker,163,NA,Black,Fair,Brown,72,BBY,Female,Tatooine,Human
Sly Moore,178,48,None,Pale,White,NA,,Female,Umbara,Umbara
Tarfful,234,136,Brown,Brown,Blue,NA,,Male,Kashyyyk,Wookiee
Taun We,213,NA,None,Grey,Black,NA,,Female,Kamino,Kaminoan
Tion Medon,206,80,None,Grey,Black,NA,,Male,Utapau,Pau'an
Wat Tambor,193,48,None,"Green, Grey",Black,NA,,Male,Skako,Skakoan
Watto,137,NA,Black,"Blue, Grey",Yellow,NA,,Male,Toydaria,Toydarian
Wedge Antilles,170,77,Brown,Fair,Hazel,21,BBY,Male,Corellia,Human
Wicket Systri Warrick,88,20,Brown,Brown,Brown,8,BBY,Male,Endor,Ewok
Wilhuff Tarkin,180,NA,"Auburn, Grey",Fair,Blue,64,BBY,Male,Eriadu,Human
Yarael Poof,264,NA,None,White,Yellow,NA,,Male,Quermia,Quermian
Yoda,66,17,White,Green,Brown,896,BBY,Male,NA,NA
Zam Wesell,168,55,Blonde,"Fair, Green, Yellow",Yellow,NA,,Female,Zolan,Clawdite
